Game Shots Missmade Xdist Ydist Dist Quarter
48 12 1 316 235 15 4
48 13 1 310 312 21 1
48 14 0 429 222 17 3
48 15 0 458 130 15 1
48 16 1 288 73 0 NA
48 17 1 294 74 0 NA
48 18 1 300 75 0 NA
48 19 1 306 74 0 NA
48 20 1 312 73 0 NA
49 1 0 106 146 17 1
49 2 0 129 86 15 2
49 3 0 125 126 15 3
49 4 0 144 209 18 3
49 5 1 211 228 16 2
49 6 0 239 245 16 1
49 7 1 269 248 16 2
49 8 0 299 147 6 1
49 9 0 359 106 5 3
49 10 1 472 161 16 1
49 11 0 478 168 17 2
49 12 0 524 119 18 3
49 13 1 288 73 0 1
49 14 0 293 74 0 2
49 15 1 298 75 0 3
49 16 0 303 75 0 1
49 17 1 308 74 0 2
49 18 0 313 73 0 3
5 1 0 205 167 14 2
5 2 0 171 225 19 3
5 3 1 167 230 20 2
5 4 1 169 264 21 4
5 5 1 198 228 18 2
5 6 1 201 241 19 1
5 7 0 207 210 16 3
5 8 0 216 234 18 2
5 9 0 210 270 20 4
5 10 0 222 346 25 2
5 11 0 238 196 11 4
5 12 0 228 218 14 4
5 13 0 237 232 16 3
5 14 0 289 72 0 1
5 15 0 288 76 0 3
